"x","y"
153228.112847,943364.677732
152499.314811,943367.094642
163900.843893,943369.427838
164036.847596,943374.440317
122140.090731,943375.539821
200167.574142,943397.400376
178920.001842,943398.695267
194609.625355,943402.331553
146550.401283,943408.359335
200520.429082,943410.296149
202715.062012,943417.487781
200332.171256,943421.048178
187138.079698,943434.708609
203788.482183,943436.546952
203092.785719,943439.789058
155274.41484,943440.406802
203451.470274,943440.614503
200110.853149,943441.750247
192764.291179,943450.546501
201886.592037,943453.852069
200879.288259,943460.247393
224904.856043,943460.368765
213270.327246,943465.049495
170695.276968,943470.504923
209537.690411,943472.394876
200445.083111,943479.636125
196547.31502,943480.526313
157936.479034,943481.532776
200051.532675,943482.088894
225053.055535,943484.710918
164023.625085,943489.100606
203522.325393,943492.978853
178526.691252,943494.386166
203587.4094,943496.596741
224648.331989,943513.583636
199716.943628,943514.60574
184182.867413,943516.076447
199879.265774,943517.970528
215547.292249,943522.985635
224468.820487,943523.372851
199986.632482,943523.387784
211642.151324,943529.069498
153284.048335,943530.539648
186342.165628,943536.987372
177809.126168,943537.236473
147136.78478,943538.581433
220134.640277,943540.705467
199234.250334,943544.413796
201461.06123,943550.2192
225279.59513,943550.580453
179439.194912,943551.708409
194357.727079,943553.472011
214261.122894,943554.431538
134439.487234,943555.948172
166708.99585,943557.975457
190433.188303,943559.453663
189376.095494,943564.64836
201031.06624,943567.127395
198009.522325,943571.297361
201837.638248,943578.060673
225681.031255,943578.245163
201038.28076,943580.518567
157714.078898,943585.292575
183589.748447,943586.578541
198299.092564,943594.193071
145649.636213,943596.268886
201402.87731,943599.452885
203356.811717,943603.583091
201580.993204,943604.948286
172088.155801,943607.034464
203509.36013,943607.224403
201079.020392,943608.631431
153063.482256,943609.408818
203197.088442,943614.217732
160256.196313,943616.364727
197551.884346,943618.430169
207443.294403,943618.539147
199044.522297,943619.33962
224640.419151,943623.956263
202255.793105,943630.522164
212844.071286,943634.226971
214060.89641,943634.467815
146813.694152,943635.184762
202157.317274,943643.879408
224002.428879,943646.803941
225494.674093,943648.109003
209095.90708,943649.610517
137404.965502,943651.596607
191474.239192,943655.744157
202324.626779,943656.686121
183217.171015,943660.927035
136342.219568,943664.329815
